author	description	retweet
nintendrian	thank u #SuperMarioOdyssey #NintendoSwitch https://t.co/i9Atg1oo3z	false
RushGamer	I liked a @YouTube video https://t.co/6LqjHTo7su SUPER MARIO ODYSSEY (Honest Game Trailers)	false
Paint_SSB	RT @alpharadtv: Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad: https://t.co/yw6Dn094Rg via @YouTube	true
Lord_PV	RT @GreyTheTick: Seriously. There's more variety in a single level of Mario Odyssey than there is across the entirety of most modern… 	true
The__Goomba	Finally, this is how I'll play all the time now. #SuperMarioOdyssey #NintendoSwitch https://t.co/eG64og3jBE	false
XplodinKittehZ	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
friendgolem	noby noby boy #SuperMarioOdyssey #NintendoSwitch https://t.co/Sf82YmkQ9U	false
SandosaurousRex	Super Mario Odyssey is my pick for Best Action/Adventure Game @thegameawards - Live on December 7 https://t.co/x4H6Z16CO0	false
Tasuki3113	@cruston7 @bezerker99 He could also start Super Mario Odyssey on the Switch in his room as well ;)	false
LuciaPenta	I liked a @YouTube video https://t.co/R8fVsXGMFT SUPER MARIO ODYSSEY (Honest Game Trailers)	false
Jonavan22	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
1crash94	RT @PKSparkxx: Tonight's going to be a hype night! Continuing to 100% #SuperMarioOdyssey, then we're playing Smash! One wave VS Vi… 	true
Luigi64128	Super Mario Odyssey is my pick for Best Family Game @thegameawards - Live on December 7 https://t.co/QA1o1vMJF6	false
SomeSageAdvice	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/IOEoGnkLvX	false
skylershag	Another cool wallpaper #SuperMarioOdyssey #NintendoSwitch https://t.co/2MRAhVRjvT	false
01Mannella	Super Mario Odyssey is my pick for Best Score/Music @thegameawards - Live on December 7 https://t.co/biDUll7cKT	false
Raphmaster14	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
Trogdorbad	RT @NintendoAmerica: Enjoying #SuperMarioOdyssey's Snapshot Mode? Send us your best in-game photos and we'll RT our favorites! https://t.co…	true
nomuru2d	RT @Smallnobody: True, but sad, as 2017's also the year of Resident Evil 7, Gravity Rush 2 NiOh, Nier Automata, Zelda BoTW, Persona… 	true
link__blink	RT @NichtSascha: I found a glitch in #SuperMarioOdyssey's 2 Player-mode that lets Cappy kill Mario when capturing a Piranha Plant.… 	true
01Mannella	Super Mario Odyssey is my pick for Best Audio Design @thegameawards - Live on December 7 https://t.co/biDUll7cKT	false
xpresnevdy	RT @geoffkeighley: Nominees for @thegameawards Game of the Year are: Horizon Zero Dawn, Persona 5, @PLAYERUNKNOWN BattleGrounds, Super… 	true
Kamuszaqua	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
xecpolaris	RT @geoffkeighley: Nominees for @thegameawards Game of the Year are: Horizon Zero Dawn, Persona 5, @PLAYERUNKNOWN BattleGrounds, Super… 	true
Josethefatsk8r	RT @LoversRisette: >P5 is nominated for GOTY Ah hell yeah. We'll finally get an anime game as... >So is Mario Odyssey and PubG Maybe n… 	true
SoStarBored	RT @alpharadtv: Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad: https://t.co/yw6Dn094Rg via @YouTube	true
Suirikumatsu	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
KORL_71	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
Lie_of_Omission	BOTW, blot even close https://t.co/cSl595roto	false
lazysocalgamer	RT @LoversRisette: >P5 is nominated for GOTY Ah hell yeah. We'll finally get an anime game as... >So is Mario Odyssey and PubG Maybe n… 	true
ThePrinceJonLee	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
Falknfer	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
AESTHETICWEEB69	I liked a @YouTube video https://t.co/biJ3QBG4Qj THE RING KEEPER - SUPER MARIO ODYSSEY Part 2	false
Sporkutensile	RT @charlieINTEL: Here are @thegameawards “Game of the Year 2017” Nominees:  • Horizon Zero Dawn • Persona 5 • PlayerUnknown’s Battle… 	true
