author	description	retweet
gunswordfist	RT @TristanACooper: If you zoom in on the binoculars in Mario Odyssey, there\'s a tiny reflection of the kingdom where it\'s located. https:/…	True
FarukOmar2	Quiero jugar super mario odyssey :(	False
MarkStevenSoto	https://t.co/ZQ7xH2tnlh What do you get when Gusty Garden and Cascade Kingdom have a baby? You get this! Hope you like it!	False
Brightglow_	"Mario Odyssey looked at the final boss of Super Mario Galaxy and said ""nah that final boss sucks, HERES A REAL DOOZY"""	False
DannyRocket	RT @yougotamoon_bot: YOU GOT A MOON!Sell Your Soul to 100℅ Mario Odyssey	True
Assassin_Volke	RT @Vidsigma: Mario Odyssey is hands down the best Mario game of all time.	True
Chrismas95	Super Mario Odyssey: Leaderboard Grinding [November 12, 2017]: https://t.co/hgHaiPQyz7 via @YouTube	False
RichaadEB	speaking of desert levels, next cover is from mario odyssey - seeya thursday!(album art by @thunderesque) https://t.co/KfdZ2q4Cx5	False
shinji1981ikari	Me ha gustado un vídeo de @YouTube (https://t.co/fm8wtjPjlM - Que Emoción Ver todo Esto !! Épica Aventura - Super Mario Odyssey #9	False
DXKang	"RT @SmashBros_Nin: ""Wow, that new Mario Odyssey commercial was great, Nintendo really outdid themselves"" Me, an intellectual: https://t.c…"	True
zimisss	RT @GassyMexican: Alright! Continuing back into Super Mario Odyssey! https://t.co/COm8h4L3uj	True
Maxwell_Davis	RT @Kotaku: Jump, man!Here\'s how to give Mario that extra boost in Super Mario Odyssey: https://t.co/9U3zaPMzZJ	True
swftjack	Mario Odyssey has too many water levels.	False
Bash_FaReal	RT @NintendoAmerica: GamesBeat calls it “…another Mario all-time classic…” Don’t miss Super Mario Odyssey.	True
Alpacabou	RT @GassyMexican: Alright! Continuing back into Super Mario Odyssey! https://t.co/COm8h4L3uj	True
floppywopper	Going live with Super Mario Odyssey on Solo Sunday! https://t.co/uuOQs3ZIMN  @HyperRTs	False
KathleenTigue	RT @Andrew_Reiner: 10 games you should play this year:1. The Legend of Zelda: Breath of the Wild2. Horizon: Zero Dawn3. Super Mario Ody…	True
SteveKoellner	RT @GassyMexican: Alright! Continuing back into Super Mario Odyssey! https://t.co/COm8h4L3uj	True
JayWilde_ZPD	RT @GassyMexican: Alright! Continuing back into Super Mario Odyssey! https://t.co/COm8h4L3uj	True
mapplebee7567	Went to Target and Lily tried Super Mario Odyssey. Suddenly, she wants to make multiple Target trips in the future. 😄	False
UWUITSNIMA	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
hosohosopapa	次の @YouTube 動画を高く評価しました: https://t.co/UaN8QDmtyC Super Mario Odyssey (IN 148,777 DOMINOES!)	False
johnS893	Rhythm Heaven (Custom Remix) - Jump Up, Super Star! (Super Mario Odyssey) https://t.co/dkS1f7Mw2E @YouTubeさんから	False
WWEMagicMan	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
frankstuvel	I liked a @YouTube video https://t.co/mq0KSlTAJ8 SUPER MARIO ODYSSEY SPEEDRUNS IN A NUTSHELL	False
KcNekro	@RileyJayDennis Haven’t played that yet, but Mario Odyssey is cute and fun, BotW is also amazing, top 10 fur sure	False
GassyMexican	Alright! Continuing back into Super Mario Odyssey! https://t.co/COm8h4L3uj	False
